x,y,dy
4586.0,-0.63488,-0.65970
4587.0,-1.44971,-1.47471
4588.0,-3.08077,-3.10595
4589.0,-0.83215,-0.85752
4590.0,0.46774,0.44219
4591.0,-0.33098,-0.35672
4592.0,-0.24088,-0.26681
4593.0,-3.91463,-3.94076
4594.0,-0.86806,-0.89438
4595.0,1.81378,1.78727
4596.0,-0.34794,-0.37466
4597.0,0.63094,0.60402
4598.0,0.46124,0.43412
4599.0,1.62979,1.60246
4600.0,2.53255,2.50501
4601.0,0.27775,0.25000
4602.0,0.87800,0.85004
4603.0,-1.52766,-1.55584
4604.0,1.24876,1.22037
4605.0,0.41038,0.38177
4606.0,0.02269,-0.00615
4607.0,-2.74125,-2.77031
4608.0,-0.60164,-0.63093
4609.0,-0.23080,-0.26033
4610.0,3.33798,3.30822
4611.0,5.23081,5.20081
4612.0,-0.14529,-0.17553
4613.0,-0.63295,-0.66343
4614.0,-0.75129,-0.78202
4615.0,0.03880,0.00783
4616.0,-0.81209,-0.84331
4617.0,3.43640,3.40492
4618.0,1.12719,1.09544
4619.0,-3.06333,-3.09534
4620.0,0.07743,0.04516
4621.0,2.39149,2.35895
4622.0,-0.71744,-0.75025
4623.0,-1.86827,-1.90136
4624.0,-0.68211,-0.71547
4625.0,0.16802,0.13438
4626.0,0.60999,0.57606
4627.0,0.30466,0.27044
4628.0,-0.71708,-0.75159
4629.0,-0.05264,-0.08745
4630.0,-0.66407,-0.69917
4631.0,-2.54865,-2.58406
4632.0,0.82041,0.78469
4633.0,-2.87974,-2.91577
4634.0,0.47466,0.43832
4635.0,3.29977,3.26310
4636.0,-2.25216,-2.28915
4637.0,-0.49050,-0.52782
4638.0,0.37725,0.33959
4639.0,-0.47070,-0.50869
4640.0,-0.13513,-0.17347
4641.0,0.59960,0.56092
4642.0,-1.94392,-1.98296
4643.0,0.03706,-0.00233
4644.0,-0.86318,-0.90294
4645.0,0.40130,0.36118
4646.0,-0.75406,-0.79455
4647.0,-1.94277,-1.98364
4648.0,0.53214,0.49089
4649.0,0.67683,0.63519
4650.0,-2.85817,-2.90020
4651.0,2.35031,2.30788
4652.0,0.67421,0.63138
4653.0,1.90376,1.86052
4654.0,0.12158,0.07791
4655.0,6.05400,6.00992
4656.0,-2.88141,-2.92592
4657.0,0.02572,-0.01922
4658.0,0.98093,0.93555
4659.0,1.78440,1.73857
4660.0,-0.05297,-0.09926
4661.0,0.06839,0.02164
4662.0,0.82519,0.77798
4663.0,2.59988,2.55219
4664.0,-0.72979,-0.77796
4665.0,-3.37623,-3.42490
4666.0,1.68938,1.64022
4667.0,4.48883,4.43917
4668.0,-2.55021,-2.60038
4669.0,0.70303,0.65233
4670.0,1.52617,1.47494
4671.0,1.11033,1.05857
4672.0,1.07096,1.01866
4673.0,-1.79909,-1.85195
4674.0,0.72979,0.67636
4675.0,1.78469,1.73070
4676.0,0.35039,0.29582
4677.0,0.62077,0.56561
4678.0,0.59581,0.54004
4679.0,-0.45871,-0.51508
4680.0,-1.60320,-1.66019
4681.0,-0.39415,-0.45178
4682.0,-1.41649,-1.47475
4683.0,0.89025,0.83133
4684.0,-0.63180,-0.69138
4685.0,1.14172,1.08147
4686.0,-0.37774,-0.43868
4687.0,-0.14468,-0.20631
4688.0,-1.41887,-1.48121
4689.0,-1.39617,-1.45924
4690.0,1.38689,1.32309
4691.0,1.30388,1.23933
4692.0,0.33737,0.27207
4693.0,0.11428,0.04820
4694.0,0.27109,0.20422
4695.0,3.22625,3.15859
4696.0,-0.04209,-0.11057
4697.0,0.46362,0.39431
4698.0,1.39201,1.32185
4699.0,0.64871,0.57770
4700.0,2.08432,2.01243
4701.0,-1.98426,-2.05705
4702.0,0.36222,0.28852
4703.0,0.28638,0.21176
4704.0,1.85154,1.77597
4705.0,0.79152,0.71498
4706.0,0.75159,0.67408
4707.0,-1.17193,-1.25044
4708.0,0.00317,-0.07636
4709.0,-1.42093,-1.50150
4710.0,-1.06387,-1.14550
4711.0,-0.20715,-0.28987
4712.0,-1.62394,-1.70776
4713.0,0.50791,0.42296
4714.0,-1.05041,-1.13650
4715.0,1.64992,1.56266
4716.0,-1.45661,-1.54507
4717.0,-0.47924,-0.56892
4718.0,-0.09532,-0.18624
4719.0,0.37102,0.27883
4720.0,-0.53240,-0.62589
4721.0,-1.79847,-1.89329
4722.0,0.05196,-0.04421
4723.0,-0.08521,-0.18276
4724.0,0.05890,-0.04007
4725.0,0.38507,0.28466
4726.0,2.18653,2.08465
4727.0,-0.69770,-0.80109
4728.0,-1.67584,-1.78078
4729.0,0.91381,0.80729
4730.0,1.33478,1.22665
